Site,easting,northing,elevation,St_refined,st_from_dr,st_from_CP,bottom_type,st_from_CP
SS09,330989.964,4309651.489,2799.328251,0.15,0.3,0.09,rock,0.09
SS10,331008.5716,4309690.836,2784.383191,0.656,0.45,0.862,sapr,0.862
SS11,331025.8534,4309721.925,2777.797119,0.51,0.46,0.56,rock,0.56
SS12,331042.157,4309749.577,2770.9931,0.7605,0.81,0.711,sapr,0.711
SS14,331058.1124,4309773.524,2763.72759,0.8165,0.74,0.893,rock,0.893
SS15,331071.6301,4309796.216,2757.917567,1.175,1.05,1.3,sapr,1.9
SS17,331001.7345,4309769.045,2769.973717,0,0.25,0.311710848,rock,0.317755934
SS18,331024.9478,4309801.645,2761.490033,0.81545155,0.84,0.810311505,rock,0.7909031
SS19,331033.7734,4309821.69,2758.655201,0.553755673,0.58,0.58084012,rock,0.527511346
SS20,330930.6349,4309720.033,2789.228772,0.699456542,0.73,0.711352638,sapr,0.668913084
SS21,330947.3886,4309745.955,2781.712552,0.8555,1.05,0.661,sapr,1.261
SS22,330962.757,4309790.201,2770.329216,0.619958253,0.65,0.64110966,sapr,0.589916506
SS23,330985.8551,4309822.872,2761.548556,0.8365,0.92,0.753,rock,0.753
SS24,330998.9208,4309840.292,2759.303291,0.335303487,0.32,0.366730893,sapr,0.350606974
SS25,330881.2205,4309739.491,2789.711175,0.870735352,0.89,0.856201812,sapr,0.851470704
SS26,330900.7777,4309782.245,2777.249251,1.125717609,1.22,1.173326462,sapr,1.331435217
SS27,330923.6595,4309828.603,2766.661653,0.730323905,0.76,0.738068719,sapr,0.70064781
SS28,330937.5857,4309849.083,2763.025161,0.67919815,0.71,0.693655543,sapr,0.6483963
SS29,330947.8165,4309867.379,2761.3895,0.709681693,0.74,0.720235274,sapr,0.679363386
SS22B,330964.777,4309795.853,2770.647791,0.949,1.05,0.848,sapr,0.848
SS23B,330970.8275,4309803.619,2767.609108,0.6765,0.7,0.653,sapr,0.653
SS23C,330974.7723,4309810.409,2765.721879,1.005,1,1.01,sapr,1.01
SS23D,330976.5657,4309813.734,2765.203609,1.0655,1.12,1.011,sapr,1.011
SS24B,330994.6737,4309835.792,2762.256917,0.3135,0.35,0.277,rock,0.277
SS26B,330885.8266,4309751.977,2786.987305,1.332829637,1.37,1.325655061,sapr,1.595659273
SS26C,330889.5567,4309758.322,2785.642209,0,1.4,1.356734358,sapr,1.651958463
SS26D,330888.6981,4309756.792,2785.974311,0.67919815,0.71,0.693655543,sapr,0.6483963
SS17B,330995.3949,4309755.085,2777.018251,0.835441413,0.821,0.793022152,sapr,1.009882825
SS17C,331002.4303,4309770.421,2771.541521,0.81545155,0.84,0.810311505,sapr,0.7909031
SS18B,331016.2793,4309783.759,2766.923413,0.689295361,0.72,0.702492728,sapr,0.658590722
SS18C,331021.1966,4309792.321,2765.02058,0.974276303,0.98,0.940236044,sapr,0.968552606
SS16B,331077.1491,4309805.541,2759.499949,0.689295361,0.72,0.702492728,sapr,0.658590722
SS16C,331074.191,4309800.379,2759.780987,1.184386198,1.3,1.253932079,sapr,1.468772396
SS15B,331068.6533,4309791.517,2760.791373,0.9315,1.02,0.843,rock,0.843
SS15C,331064.0863,4309782.95,2762.764608,0.8875,1.03,0.745,rock,0.745
SS14B,331048.825,4309763.083,2769.69885,0.67,0.65,0.69,rock,0.99
SS12B,331036.9438,4309736.395,2776.728653,0.361,0.4,0.322,sapr,0.322
SS12C,331032.4352,4309729.238,2778.416115,0.649290337,0.68,0.667280339,rock,0.618580673
SS11B,331019.6872,4309707.959,2782.776888,0.6515,0.65,0.653,rock,0.653
SS11C,331014.7727,4309696.001,2785.484729,0.4795,0.5,0.459,rock,0.459
SS10B,331004.1784,4309681.138,2787.963358,0.715,0.75,0.68,rock,0.68
SS10C,330998.0453,4309670.695,2790.37581,1.4405,1.33,1.551,sapr,0.651
SS10D,330992.2553,4309661.894,2794.542668,1.355,1.46,1.25,sapr,0.95
SS09B,330988.2144,4309646.322,2803.521292,0.2075,0.25,0.165,rock,0.335
SS09C,330983.6053,4309642.506,2804.103757,0.265,0.3,0.23,rock,0.23
PLM0,330975,4309648,2806,0.2,0.2,0.2,rock,0.9
PLM1,331012.302,4309678.924,2786.739,0.8,0.8,0.8,sapr,1.065
PLM2,331061.629,4309721.08,2777.245,0.7,0.75,0.65,sapr,0.75
PLM3,331092.192,4309790.349,2759.595,0.783333333,0.783333333,0.783333333,sapr,1.483333333
